stn_code,mrt_station_english,mrt_line_english,line_name,openning_date,closed_date,closed
DT15,Promenade,Downtown Line,Downtown Line,,,
DT16,Bayfront,Downtown Line,Downtown Line,,,
DT17,Downtown,Downtown Line,Downtown Line,,,
DT18,Telok Ayer,Downtown Line,Downtown Line,,,
DT19,Chinatown,Downtown Line,Downtown Line,,,
DT20,Fort Canning,Downtown Line,Downtown Line,,,
DT21,Bencoolen,Downtown Line,Downtown Line,,,
DT22,Jalan Besar,Downtown Line,Downtown Line,,,
DT23,Bendemeer,Downtown Line,Downtown Line,,,
DT24,Geylang Bahru,Downtown Line,Downtown Line,,,
DT25,Mattar,Downtown Line,Downtown Line,,,
DT26,MacPherson,Downtown Line,Downtown Line,,,
DT27,Ubi,Downtown Line,Downtown Line,,,
DT28,Kaki Bukit,Downtown Line,Downtown Line,,,
DT29,Bedok North,Downtown Line,Downtown Line,,,
DT30,Bedok Reservoir,Downtown Line,Downtown Line,,,
DT31,Tampines West,Downtown Line,Downtown Line,,,
DT32,Tampines,Downtown Line,Downtown Line,,,
DT33,Tampines East,Downtown Line,Downtown Line,,,
DT34,Upper Changi,Downtown Line,Downtown Line,,,
DT35,Expo,Downtown Line,Downtown Line,,,
# ,,,,,,
BP1,Choa Chu Kang,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP2,South View,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP3,Keat Hong,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP4,Teck Whye,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP5,Phoenix,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP6,Bukit Panjang,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP7,Petir,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP8,Pending,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP9,Bangkit,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP10,Fajar,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP11,Segar,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP12,Jelapang,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP13,Senja,Bukit Panjang LRT,Bukit Panjang LRT,,,
BP14,Ten Mile Junction,Bukit Panjang LRT,Bukit Panjang LRT,,2019/01/13,TRUE
# ,,,,,,
STC,Sengkang,Sengkang LRT,Sengkang LRT East Loop,,,
SE1,Compassvale,Sengkang LRT,Sengkang LRT East Loop,,,
SE2,Rumbia,Sengkang LRT,Sengkang LRT East Loop,,,
SE3,Bakau,Sengkang LRT,Sengkang LRT East Loop,,,
SE4,Kangkar,Sengkang LRT,Sengkang LRT East Loop,,,
SE5,Ranggung,Sengkang LRT,Sengkang LRT East Loop,,,
# ,,,,,,
STC,Sengkang,,Sengkang LRT West Loop,,,
SW1,Cheng Lim,Sengkang LRT,Sengkang LRT West Loop,,,
SW2,Farmway,Sengkang LRT,Sengkang LRT West Loop,,,
SW3,Kupang,Sengkang LRT,Sengkang LRT West Loop,,,
SW4,Thanggam,Sengkang LRT,Sengkang LRT West Loop,,,
SW5,Fernvale,Sengkang LRT,Sengkang LRT West Loop,,,
SW6,Layar,Sengkang LRT,Sengkang LRT West Loop,,,
SW7,Tongkang,Sengkang LRT,Sengkang LRT West Loop,,,
SW8,Renjong,Sengkang LRT,Sengkang LRT West Loop,,,
# ,,,,,,
PTC,Punggol,Punggol LRT,Punggol LRT East Loop,,,
PE1,Cove,Punggol LRT,Punggol LRT East Loop,,,
PE2,Meridian,Punggol LRT,Punggol LRT East Loop,,,
PE3,Coral Edge,Punggol LRT,Punggol LRT East Loop,,,
PE4,Riviera,Punggol LRT,Punggol LRT East Loop,,,
PE5,Kadaloor,Punggol LRT,Punggol LRT East Loop,,,
PE6,Oasis,Punggol LRT,Punggol LRT East Loop,,,
PE7,Damai,Punggol LRT,Punggol LRT East Loop,,,
# ,,,,,,
PTC,Punggol,,Punggol LRT West Loop,,,
PW1,Sam Kee,Punggol LRT,Punggol LRT West Loop,,,
PW2,Teck Lee,Punggol LRT,Punggol LRT West Loop,,,TRUE
PW3,Punggol Point,Punggol LRT,Punggol LRT West Loop,,,
PW4,Samudera,Punggol LRT,Punggol LRT West Loop,,,
PW5,Nibong,Punggol LRT,Punggol LRT West Loop,,,
PW6,Sumang,Punggol LRT,Punggol LRT West Loop,,,
PW7,Soo Teck,Punggol LRT,Punggol LRT West Loop,,,
# ,,,,,,
TE1,Woodlands North ,Thomson-East Coast Line,Thomson-East Coast Line,,,
TE2,Woodlands ,Thomson-East Coast Line,Thomson-East Coast Line,,,
TE3,Woodlands South ,Thomson-East Coast Line,Thomson-East Coast Line,,,
TE4,Springleaf,,Thomson-East Coast Line,,,
TE5,Lentor,,Thomson-East Coast Line,,,
TE6,Mayflower,,Thomson-East Coast Line,,,
TE7,Bright Hill,,Thomson-East Coast Line,,,
TE8,Upper Thomson,,Thomson-East Coast Line,,,
TE9,Caldecott,,Thomson-East Coast Line,,,
